Latin Name,Common Name,Reference,Original Map No(s).,SHP/*
Abies amabilis,Pacific silver fir,Little (1971),"1-W, 1-N",abieamab
Abies balsamea,balsam fir,Little (1971),"2-N, 2-E",abiebals
Abies bracteata,bristlecone fir,Little (1971),3-W,abiebrac
Abies concolor,white fir,Little (1971),5-W,abieconc
Abies fraseri,Fraser fir,Little (1971),4-E,abiefras
Abies grandis,grand fir,Little (1971),6-W,abiegran
Abies lasiocarpa,subalpine fir,Little (1971),"7-W, 7-N",abielasi
Abies magnifica,California red fir,Little (1971),8-W,abiemagn
Abies procera,noble fir,Little (1971),9-W,abieproc
Acacia berlandieri,Berlandier acacia,Little (1976),"1-N, 1-SW",acacberl
Acacia choriophylla,cinnecord,Little (1978),159,acacchor
Acacia farnesiana,sweet acacia,Little (1976),2,acacfarn
Acacia greggii,catclaw acacia,Little (1976),3,acacgreg
Acacia macracantha,long spine acacia,Little (1978),160,acacmacr
Acacia rigidula,blackbrush acacia,Little (1976),4,acacrigi
Acacia roemeriana,Roemer acacia,Little (1976),5,acacroem
Acacia tortuosa,twisted acacia,Little (1976),"6-N, 6-SW",acactort
Acacia wrightii,Wright acacia,Little (1976),7,acacwrig
Acer barbatum,Florida maple,Little (1977),1,acerbarb
Acer circinatum,vine maple,Little (1976),8,acercirc
Acer glabrum,Rocky Mountain maple,Little (1976),"9-N, 9-W",acerglab
Acer grandidentatum,bigtooth maple,Little (1976),10,acergran
Acer leucoderme,chalk maple,Little (1977),2,acerleuc
Acer macrophyllum,bigleaf maple,Little (1971),"95-W, 95-N",acermacr
Acer negundo,boxelder,Little (1971),"96-W, 96-E, 96-N",acernegu
Acer nigrum,black maple,Little (1971),97-E,acernigr
Acer pensylvanicum,striped maple,Little (1977),"3-N, 3-NE",acerpens
Acer rubrum,red maple,Little (1971),"98-N, 98-E",acerrubr
Acer saccharinum,silver maple,Little (1971),101-E,acersacc
Acer saccharum,sugar maple,Little (1971),"99-N, 99-E",acersacr
Acer spicatum,mountain maple,Little (1977),"4-N, 4-NE",acerspic
Acoelorrhaphe wrightii,paurotis palm,Little (1978),161,acoewrig
Aesculus californica,California buckeye,Little (1976),11,aesccali
Aesculus glabra,Ohio buckeye,Little (1971),102-E,aescglab
Aesculus octandra,yellow buckeye,Little (1971),103-E,aescocta
Aesculus parviflora,bottlebrush buckeye,Little (1977),5,aescparv
Aesculus pavia,red buckeye,Little (1977),6,aescpavi
Aesculus sylvatica,painted buckeye,Little (1977),7,aescsylv
Agave utahensis,Utah agave,Benson and Darrow (1981),3.16,agavutah
Alnus maritima,seaside alder,Little (1977),8,alnumari
Alnus oblongifolia,Arizona alder,Little (1976),12,alnuoblo
Alnus rhombifolia,white alder,Little (1976),13,alnurhom
Alnus rubra,red alder,Little (1971),"104-W, 104-N",alnurubr
Alnus rugosa,speckled alder,Little (1977),"9-N, 9-NE",alnurugo
Alnus serrulata,hazel alder,Little (1977),"10-NE, 10-SE, 10-N",alnuserr
Alnus sinuata,Sitka alder,Little (1976),"14-N, 14-W",alnusinu
Alnus tenuifolia,thinleaf alder,Little (1976),"15-N, 15-W",alnutenu
Alvaradoa amorphoides,Mexican alvaradoa,Little (1978),162,alvaamor
Amelanchier alnifolia,western serviceberry,Little (1976),"16-N, 16-NW",amelalni
Amelanchier arborea,downy serviceberry,Little (1977),"11-N, 11-NE, 11-SE",amelarbo
Amelanchier interior,inland serviceberry,Little (1977),13,amelinte
Amelanchier sanguinea,roundleaf serviceberry,Little (1977),14,amelsang
Amelanchier utahensis,Utah serviceberry,Little (1976),17,amelutah
Amphitecna latifolia,black calabash,Little (1978),163,amphlati
Amyris balsamifera,balsam torchwood,Little (1978),164,amyrbals
Amyris elemifera,torchwood,Little (1978),165,amyrelem
Annona glabra,pond apple,Little (1978),166,annoglab
Aralia spinosa,devils walkingstick,Little (1977),15,aralspin
Arbutus arizonica,Arizona madrone,Little (1976),18,arbuariz
Arbutus menziesii,Pacific madrone,Little (1971),100-W,arbumenz
Arbutus texana,Texas madrone,Little (1976),19,arbutexa
Arctostaphylos pringlei,Pringle manzanita,Little (1976),20,arctprin
Ardisia escallonioides,marlberry,Little (1978),167,ardiesca
Artemisia tridentata,big sagebrush,Little (1976),"21-NW, 21-SW",artetrid
Asimina parviflora,smallflower pawpaw,Little (1978),158.5,asimparv
Asimina triloba,pawpaw,Little (1977),16,asimtril
Avicennia germinans,black mangrove,"Little (1977, 1978)","17-N,17-SE, 168",avicgerm
Baccharis halimifolia,eastern baccharis,Little (1977),"18-NE, 18-SE",bacchali
Betula alleghaniensis,yellow birch,Little (1971),"105-N, 105-E",betualle
Betula lenta,sweet birch,Little (1971),106-E,betulent
Betula nana,dwarf birch,Little (1975),34,betunana
Betula nigra,river birch,Little (1971),110-E,betunigr
Betula occidentalis,water birch,Little (1976),"22-N, 22-NW",betuocci
Betula papyrifera,paper birch,Little (1971),"107-N, 107-W, 107-E",betupapy
Betula populifolia,gray birch,Little (1971),"108-N, 108-E",betupopu
Betula uber,Ashe birch,Little (1977),19,betuuber
Bourreria ovata,Bahama strongbark,Little (1978),169,bourovat
Bourreria radula,rough strongbark,Little (1978),170,bourradu
Bumelia celastrina,saffron plum,"Little (1976, 1978)","23-N, 23-SW, 171",bumecela
Bumelia lanuginosa,gum bumelia,"Little (1976, 1977)","24, 20",bumelanu
Bumelia lycioides,buckthorn bumelia,Little (1977),21,bumelyci
Bumelia tenax,tough bumelia,Little (1977),22,bumetena
Bursera fagaroides,fragrant bursera,Little (1976),"26-N, 26-SW",bursfaga
Bursera microphylla,elephanttree,Little (1976),25,bursmicr
Bursera simaruba,gumbo limbo,Little (1978),172,burssima
Byrsonima lucida,key byrsonima,Little (1978),173,byrsluci
Caesalpinia mexicana,Mexican poinciana,Little (1976),"27-N, 27-SW",caesmexi
Calyptranthes pallens,pale lidflower,Little (1978),174,calypall
Calyptranthes zuzygium,myrtle of the river,Little (1978),175,calyzuzy
Canella winterana,canella,Little (1978),176,canewint
Canotia holacantha,canotia,Little (1976),28,canoholo
Capparis cynophallophora,Jamaica caper,Little (1978),177,cappcyno
Capparis flexuosa,limber caper,Little (1978),178,cappflex
Carpinus caroliniana,American hornbeam,Little (1971),"109-N, 109-E",carpcaro
Carya aquatica,water hickory,Little (1971),111-E,caryaqua
Carya cordiformis,bitternut hickory,Little (1971),112-E,carycord
Carya floridana,scrub hickory,Little (1977),23,caryflor
Carya glabra,pignut hickory,Little (1971),113-E,caryglab
Carya illinoensis,pecan,Little (1971),"114-W, 114-E, 114-N",caryilli
Carya laciniosa,shellbark hickory,Little (1971),115-E,carylaci
Carya myristicaeformis,nutmeg hickory,Little (1971),116-E,carymyri
Carya ovata,shagbark hickory,Little (1971),"118-N, 118-E",caryovat
Carya pallida,sand hickory,Little (1977),24,carypall
Carya texana,black hickory,Little (1977),25,carytexa
Carya tomentosa,mockernut hickory,Little (1971),117-E,carytome
Castanea alnifolia,Florida chinkapin,Little (1977),26,castalni
Castanopsis chrysophylla,golden chinkapin,Little (1971),119-W,castchry
Castanea dentata,American chestnut,Little (1977),"27-NE, 27-SE",castdent
Castanea ozarkensis,Ozark chinkapin,Little (1977),28,castozar
Castanea pumila,Allegheny chinkapin,Little (1977),29,castpumi
Catalpa bignonioides,southern catalpa,Little (1977),30,catabign
Catalpa speciosa,northern catalpa,Little (1971),120-E,cataspec
Ceanothus arboreus,feltleaf ceanothus,Little (1976),29,ceanarbo
Ceanothus spinosus,spiny ceanothus,Little (1976),30,ceanspin
Ceanothus thyrsiflorus,blueblossom,Little (1976),31,ceanthyr
Celtis laevigata,sugarberry,Little (1971),"122-W, 122-E, 122-N",celtlaev
Celtis lindheimeri,Lindheimer hackberry,Little (1976),32,celtlind
Celtis occidentalis,hackberry,Little (1971),"121-W, 121-E",celtocci
Celtis reticulata,netleaf hackberry,Little (1976),"33-N, 33-NW, 33-SW",celtreti
Celtis tenuifolia,Georgia hackberry,Little (1977),31,celttenu
Cephalanthus occidentalis,common buttonbush,"Little (1976, 1977)","34-NW, 34-SW, 34-N, 32-NE, 32-SE,32-N",cephocci
Cercocarpus betuloides,birchleaf cercocarpus,Little (1976),40,cercbetu
Cercocarpus breviflorus,hairy cercocarpus,Little (1976),41,cercbrev
Cercis canadensis,eastern redbud,"Little (1976, 1977)","38-N, 38-SW, 33-N, 33-NE, 33-SE",cerccana
Cercidium floridum,blue paloverde,Little (1976),35,cercflor
Cercocarpus ledifolius,curlleaf cercocarpus,Little (1976),42,cercledi
Cercidium macrum,border paloverde,Little (1976),36,cercmacr
Cercidium microphyllum,yellow paloverde,Little (1976),37,cercmicr
Cercis occidentalis,California redbud,Little (1976),39,cercocci
Cercocarpus traskiae,Catalina cercocarpus,Little (1976),43,cerctras
Cereus giganteus,saguaro,Little (1976),44,ceregiga
Cereus robinii,key tree cactus,Little (1978),179,cererobi
Chamaecyparis lawsoniana,Port Orford cedar,Little (1971),10-W,chamlaws
Chamaecyparis nootkatensis,Alaska cedar,Little (1971),"12-W, 12-N",chamnoot
Chamaecyparis thyoides,Atlantic white cedar,Little (1971),11-E,chamthyo
Chilopsis linearis,desert willow,Little (1976),49,chilline
Chionanthus virginicus,fringetree,Little (1977),34,chiovirg
Chrysobalanus icaco,cocoplum,Little (1978),180,chryicac
Chrysophyllum oliviforme,satinleaf,Little (1978),181,chryoliv
Citharexylum berlandieri,Berlandier fiddlewood,Little (1976),"45-N, 45-SW",cithberl
Citharexylum fruticosum,Florida fiddlewood,Little (1978),182,cithfrut
Cladrastis kentukea,yellowwood,Little (1977),35,cladkent
Clethra acuminata,cinnamon clethra,Little (1977),36,cletacum
Cliftonia monophylla,buckwheat tree,Little (1977),37,clifmono
Clusia rosea,Florida clusia,Little (1978),183,clusrose
Coccothrinax argentata,Florida silverpalm,Little (1978),186,coccarge
Coccoloba diversifolia,pigeon plum,Little (1978),184,coccdive
Coccoloba uvifera,seagrape,Little (1978),185,coccuvif
Colubrina arborescens,coffee colubrina,Little (1978),187,coluarbo
Colubrina cubensis,Cuba colubrina,Little (1978),188,colucube
Colubrina elliptica,soldierwood,Little (1978),189,coluelli
Condalia globosa,bitter condalia,Little (1976),46,condglob
Condalia hookeri,bluewood,Little (1976),47,condhook
Conocarpus erectus,button mangrove,Little (1978),190,conoerec
Cordia boissieri,anacahuita,Little (1976),"48-N, 48-SW",cordbois
Cordia sebestena,Geiger tree,Little (1978),191,cordsebe
Cornus alternifolia,alternate leaf dogwood,Little (1977),"38-NE,38-SE,38-N",cornalte
Cornus drummondii,roughleaf dogwood,Little (1977),39,corndrum
Cornus florida,flowering dogwood,Little (1971),"124-N, 124-E",cornflor
Cornus glabrata,brown dogwood,Little (1976),50,cornglab
Cornus nuttallii,Pacific dogwood,Little (1976),"51-NW, 51-SW",cornnutt
Cornus occidentalis,western dogwood,Little (1976),52,cornocci
Cornus racemosa,gray dogwood,Little (1977),41,cornrace
Cornus rugosa,roundleaf dogwood,Little (1977),"40-NE, 40-N",cornrugo
Cornus sessilis,blackfruit dogwood,Little (1976),56,cornsess
Cornus stolonifera,red osier dogwood,Little (1977),"43-N, 43-NE",cornstol
Cornus stricta,stiffcornel dogwood,Little (1977),42,cornstri
Corylus cornuta,beaked hazel,Little (1977),"44-N, 44-NE",corycorn
Cotinus obovatus,American smoketree,Little (1977),46,cotiobov
Cowania mexicana,cliffrose,Little (1976),"55-N, 55-SW",cowamexi
Crataegus chrysocarpa,fireberry hawthorn,Little (1976),57,cratchry
Crataegus columbiana,Columbia hawthorn,Little (1976),"58-N, 58-NW",cratcolu
Crataegus douglasii,black hawthorn,Little (1976),"59-N, 59-NW",cratdoug
Crataegus erythropoda,Cerro hawthorn,Little (1976),60,crateryt
Crataegus saligna,willow hawthorn,Little (1976),61,cratsali
Crataegus succulenta,fleshy hawthorn,Little (1976),62,cratsucc
Crataegus tracyi,Tracy hawthorn,Little (1976),63,crattrac
Crossopetalum rhacoma,Florida crossopetalum,Little (1978),192,crosrhac
Cupania glabra,Florida cupania,Little (1978),193,cupaglab
Cupressus arizonica,Arizona cypress,Little (1971),13-W,cuprariz
Cupressus bakeri,Modoc cypress,Little (1971),14-W,cuprbake
Cupressus goveniana,Gowen cypress,Little (1971),15-W,cuprgove
Cupressus guadalupensis,Tecate cypress,Little (1971),16-W,cuprguad
Cupressus macnabiana,MacNab cypress,Little (1971),17-W,cuprmacn
Cupressus macrocarpa,Monterey cypress,Little (1971),18-W,cuprmacr
Cupressus sargentii,Sargent cypress,Little (1971),19-W,cuprsarg
Cyrilla racemiflora,swamp cyrilla,Little (1977),"45-SE, 45-N",cyrirace
Dalea spinosa,smokethorn,Little (1976),64,dalespin
Diospyros texana,Texas persimmon,Little (1976),65,diostexa
Diospyros virginiana,common persimmon,Little (1971),123-E,diosvirg
Dipholis salicifolia,willow bustic,Little (1978),194,diphsali
Dodonaea viscosa,hopbush,"Little (1976, 1978)","66-N, 66-SW,195",dodovisc
Drypetes diversifolia,milkbark,Little (1978),196,drypdive
Drypetes lateriflora,Guiana plum,Little (1978),197,dryplate
Ehretia anacua,anaqua,Little (1976),"67-N, 67-SW",ehreanac
Elliottia racemosa,elliottia,Little (1977),47,ellirace
Erythrina flabelliformis,southwestern coralbean,Little (1976),"68-N, 68-SW",erytflab
Erythrina herbacea,eastern coralbean,Little (1977),"48-SE, 48-N",erytherb
Esenbeckia berlandieri,Berlandier esenbeckia,Little (1976),"69-N, 69-SW",esenberl
Eugenia axillaris,white stopper,Little (1978),198,eugeaxil
Eugenia confusa,redberry stopper,Little (1978),199,eugeconf
Eugenia foetida,boxleaf stopper,Little (1978),200,eugefoet
Eugenia rhombea,red stopper,Little (1978),201,eugerhom
Euonymus atropurpureus,eastern wahoo,Little (1977),"49-NE, 49-SE",euonatro
Euonymus occidentalis,western wahoo,Little (1976),70,euonocci
Exostema caribaeum,princewood,Little (1978),202,exoscari
Exothea paniculata,inkwood,Little (1978),203,exotpani
Eysenhardtia polystachya,kidneywood,Little (1976),"72-N, 72-W",eysepoly
Eysenhardtia texana,Texas kidneywood,Little (1976),71,eysetexa
Fagus grandifolia,American beech,Little (1971),"125-N, 125-E",fagugran
Ficus aurea,Florida strangler fig,Little (1978),204,ficuaure
Ficus citrifolia,shortleaf fig,Little (1978),205,ficucitr
Forestiera acuminata,swamp privet,Little (1977),50,foreacum
Forestiera angustifolia,Texas forestiera,Little (1976),"73-N, 73-W",foreangu
Forestiera phillyreoides,desert olive forestiera,Little (1976),74,forephil
Forestiera segregata,Florida privet,Little (1977),51,foresegr
Franklinia alatamaha,franklinia,Little (1977),52,franalat
Fraxinus americana,white ash,Little (1971),"126-N, 126-E",fraxamer
Fraxinus anomala,singleleaf ash,Little (1976),75,fraxanom
Fraxinus berlandieriana,Berlandier ash,Little (1976),76,fraxberl
Fraxinus caroliniana,Carolina ash,Little (1977),53,fraxcaro
Fraxinus cuspidata,fragrant ash,Little (1976),77,fraxcusp
Fraxinus dipetala,two petal ash,Little (1976),78,fraxdipe
Fraxinus gooddingii,Goodding ash,Little (1976),79,fraxgood
Fraxinus greggii,Gregg ash,Little (1976),"80-N, 80-SW",fraxgreg
Fraxinus latifolia,Oregon ash,Little (1971),127-W,fraxlati
Fraxinus nigra,black ash,Little (1971),"129-N, 129-E",fraxnigr
Fraxinus papillosa,Chihuahua ash,Little (1976),81,fraxpapi
Fraxinus pennsylvanica,green ash,Little (1971),"130-W, 130-E, 130-N",fraxpenn
Fraxinus profunda,pumpkin ash,Little (1977),54,fraxprof
Fraxinus quadrangulata,blue ash,Little (1971),128-E,fraxquad
Fraxinus texensis,Texas ash,Little (1976),82,fraxtexe
Fraxinus velutina,velvet ash,Little (1976),83,fraxvelu
Fremontodendron californicum,California fremontia,Little (1976),84,fremcali
Fremontodendron mexicanum,Mexican fremontia,Little (1976),85,fremmexi
Garrya elliptica,wavyleaf silktassel,Little (1976),86,garrelli
Genipa clusiifolia,seven year apple,Little (1978),206,geniclus
Gleditsia aquatica,waterlocust,Little (1977),55,gledaqua
Gleditsia triacanthos,honeylocust,Little (1971),"132-W, 132-E",gledtria
Gordonia lasianthus,loblolly bay,Little (1977),56,gordlasi
Guaiacum angustifolium,Texas lignumvitae,Little (1976),87,guaiangu
Guaiacum sanctum,roughbark lignumvitae,Little (1978),207,guaisanc
Guapira discolor,blolly,Little (1978),208,guapdisc
Guettarda elliptica,elliptic leaf velvetseed,Little (1978),209,guetelli
Guettarda scabra,roughleaf velvetseed,Little (1978),210,guetscab
Gyminda latifolia,falsebox,Little (1978),211,gymilati
Gymnocladus dioicus,Kentucky coffeetree,Little (1977),57,gymndioi
Gymnanthes lucida,oysterwood,Little (1978),212,gymnluci
Halesia carolina,Carolina silverbell,Little (1977),58,halecaro
Halesia diptera,two wing silverbell,Little (1977),59,haledipt
Halesia parviflora,little silverbell,Little (1977),60,haleparv
Hamamelis virginiana,witch hazel,Little (1977),"61-N, 61-NE, 61-SE",hamavirg
Hamelia patens,scarletbush,Little (1978),213,hamepate
Helietta parvifolia,barreta,Little (1976),"89-N, 89-SW",heliparv
Hippomane mancinella,manchineel,Little (1978),214,hippmanc
Holacantha emoryi,holacantha,Little (1976),88,holaemor
Hypelate trifoliata,hypelate,Little (1978),215,hypetrif
Ilex ambigua,Carolina holly,Little (1977),62,ilexambi
Ilex amelanchier,sarvis holly,Little (1977),63,ilexamel
Ilex cassine,dahoon,Little (1977),"64-N, 64-SE",ilexcass
Ilex coriacea,large gallberry,Little (1977),65,ilexcori
Ilex decidua,possumhaw,Little (1977),66,ilexdeci
Ilex krugiana,tawnyberry holly,Little (1978),216,ilexkrug
Ilex laevigata,smooth winterberry,Little (1977),67,ilexlaev
Ilex longipes,Georgia holly,Little (1978),158.2,ilexlong
Ilex montana,mountain winterberry,Little (1977),68,ilexmont
Ilex myrtifolia,myrtle dahoon,Little (1977),69,ilexmyrt
Ilex opaca,American holly,Little (1971),131-E,ilexopac
Ilex verticillata,common winterberry,Little (1977),"70-N, 70-NE, 70-SE",ilexvert
Ilex vomitoria,yaupon,Little (1977),"71-SE, 71-N",ilexvomi
Illicium floridanum,Florida anise tree,Little (1977),"72-N, 72-NE",illiflor
Illicium parviflorum,yellow anise tree,Little (1977),73,illiparv
Jacquinia keyensis,joewood,Little (1978),217,jacqkeye
Juglans californica,California walnut,Little (1976),90,juglcali
Juglans cinerea,butternut,Little (1971),133-E,juglcine
Juglans hindsii,Hinds walnut,Little (1976),91,juglhind
Juglans major,Arizona walnut,Little (1976),"92-N, 92-SW",juglmajo
Juglans microcarpa,little walnut,Little (1976),93,juglmicr
Juglans nigra,black walnut,Little (1971),134-E,juglnigr
Juniperus ashei,Ashe juniper,Little (1971),"21-W, 21-E",juniashe
Juniperus californica,California juniper,Little (1971),20-W,junicali
Juniperus communis,common juniper,Little (1971),"22-W, 22-E, 22-N",junicomm
Juniperus deppeana,alligator juniper,Little (1971),"23-W, 23-N",junidepp
Juniperus erythrocarpa,redberry juniper,Little (1981),36,junieryt
Juniperus flaccida,drooping juniper,Little (1971),"24-W, 24-N",juniflac
Juniperus horizontalis,creeping juniper,Little (1971),"22.1-N, 22.1-W, 22.1-E",junihori
Juniperus monosperma,one seed juniper,Little (1971),"25-W, 25-N",junimono
Juniperus occidentalis,western juniper,Little (1971),26-W,juniocci
Juniperus osteosperma,Utah juniper,Little (1971),27-W,junioste
Juniperus pinchotii,Pinchot juniper,Little (1971),28-W,junipinc
Juniperus scopulorum,Rocky Mountain juniper,Little (1971),"30-W, 30-N",juniscop
Juniperus silicicola,southern redcedar,Little (1971),29-E,junisili
Juniperus virginiana,eastern redcedar,Little (1971),"31-W, 31-E",junivirg
Kalmia latifolia,mountain laurel,Little (1977),"75-NE, 75-SE",kalmlati
Koeberlinia spinosa,allthorn,Little (1976),"95-N, 95-SW",koebspin
Krugiodendron ferreum,leadwood,Little (1978),218,krugferr
Laguncularia racemosa,white mangrove,Little (1978),219,lagurace
Larix laricina,tamarack,Little (1971),"32-N, 32-E",larilari
Larix lyallii,subalpine larch,Little (1971),33-W,larilyal
Larix occidentalis,western larch,Little (1971),34-W,lariocci
Larrea divaricata,creosote bush,Yang (1970),p. 44,larrdiva
Leitneria floridana,corkwood,Little (1977),74,leitflor
Leucaena pulverulenta,great leadtree,Little (1976),"96-N, 96-SW",leucpulv
Leucaena retusa,littleleaf leadtree,Little (1976),94,leucretu
Libocedrus decurrens,incense cedar,Little (1971),35-W,libodecu
Licaria triandra,Florida licaria,Little (1978),220,licatria
Liquidambar styraciflua,sweetgum,Little (1971),"135-N, 135-E",liqustyr
Liriodendron tulipifera,yellow poplar,Little (1971),137-E,lirituli
Lithocarpus densiflorus,tanoak,Little (1971),136-W,lithdens
Lyonia ferruginea,tree lyonia,Little (1977),76,lyonferr
Lyonothamnus floribundus,Lyontree,Little (1976),98,lyonflor
Lysiloma latisiliquum,Bahama lysiloma,Little (1978),221,lysilati
Lysiloma microphylla,littleleaf lysiloma,Little (1976),"97-N, 97-SW",lysimicr
Maclura pomifera,Osage orange,Little (1971),"138-W, 138-E",maclpomi
Magnolia acuminata,cucumbertree,Little (1971),140-E,magnacum
Magnolia ashei,Ashe magnolia,Little (1977),77,magnashe
Magnolia fraseri,Fraser magnolia,Little (1977),78,magnfras
Magnolia grandiflora,southern magnolia,Little (1971),141-E,magngran
Magnolia macrophylla,bigleaf magnolia,Little (1977),79,magnmacr
Magnolia pyramidata,pyramid magnolia,Little (1977),80,magnpyra
Magnolia tripetala,umbrella magnolia,Little (1977),81,magntrip
Magnolia virginiana,sweetbay,Little (1971),142-E,magnvirg
Malus angustifolia,southern crab apple,Little (1977),82,maluangu
Malus coronaria,sweet crab apple,Little (1977),83,malucoro
Malus diversifolia,Oregon crab apple,Little (1976),"100-N, 100-W",maludive
Malus ioensis,prairie crab apple,Little (1977),84,maluioen
Manilkara bahamensis,wild dilly,Little (1978),222,manibaha
Mastichodendron foetidissimum,false mastic,Little (1978),223,mastfoet
Maytenus phyllanthoides,Florida mayten,Little (1978),224,maytphyl
Metopium toxiferum,Florida poisontree,Little (1978),225,metotoxi
Morus microphylla,Texas mulberry,Little (1976),99,morumicr
Morus rubra,red mulberry,Little (1971),"139-W, 139-E",morurubr
Myrcianthes fragrans,twinberry stopper,Little (1978),226,myrcfrag
Myrica californica,Pacific bayberry,Little (1976),101,myricali
Myrica cerifera,southern bayberry,Little (1977),85,myriceri
Myrica heterophylla,evergreen bayberry,Little (1977),86,myrihete
Myrica inodora,odorless bayberry,Little (1977),87,myriinod
Myrica pensylvanica,northern bayberry,Little (1977),"88-N, 88-NE",myripens
Nectandra coriacea,Florida nectandra,Little (1978),227,nectcori
Nemopanthus collinus,mountain holly,Little (1977),89,nemocoll
Nolina bigelovii,Bigelow nolina,Little (1976),102,nolibige
Nyssa aquatica,water tupelo,Little (1971),143-E,nyssaqua
Nyssa ogeche,Ogeechee tupelo,Little (1971),145-E,nyssogec
Nyssa sylvatica,"black tupelo, blackgum",Little (1971),"144-N, 144-E",nysssylv
